away_team,home_team,map,away_main_dps_kills,away_main_dps_deaths,away_main_dps_ults,away_main_dps_kdr,away_flex_dps_kills,away_flex_dps_deaths,away_flex_dps_ults,away_flex_dps_kdr,away_main_support_kills,away_main_support_deaths,away_main_support_ults,away_main_support_kdr,away_flex_support_kills,away_flex_support_deaths,away_flex_support_ults,away_flex_support_kdr,away_main_tank_kills,away_main_tank_deaths,away_main_tank_ults,away_main_tank_kdr,away_flex_tank_kills,away_flex_tank_deaths,away_flex_tank_ults,away_flex_tank_kdr,hom_main_dps_kills,hom_main_dps_deaths,hom_main_dps_ults,hom_main_dps_kdr,hom_flex_dps_kills,hom_flex_dps_deaths,hom_flex_dps_ults,hom_flex_dps_kdr,hom_main_support_kills,hom_main_support_deaths,hom_main_support_ults,hom_main_support_kdr,hom_flex_support_kills,hom_flex_support_deaths,hom_flex_support_ults,hom_flex_support_kdr,hom_main_tank_kills,hom_main_tank_deaths,hom_main_tank_ults,hom_main_tank_kdr,hom_flex_tank_kills,hom_flex_tank_deaths,hom_flex_tank_ults,hom_flex_tank_kdr,away_team_goats,away_team_Winston_goats,away_team_sombra_goats,away_team_ana_goats,away_team_dive,away_team_wrecking_crew,home_team_goats,home_team_Winston_goats,home_team_sombra_goats,home_team_ana_goats,home_team_dive,home_team_wrecking_crew
PHI,LDN,3,11,7,7,+2,2,9,6,-1,4,8,5,+1,9,9,9,+1,6,15,6,-2,8,8,8,0,13,5,9,+1,18,6,9,+1,1,7,6,-1,9,7,8,-2,8,11,6,0,8,5,7,0,0.143,0.564,0,0,0.103,0.109,0.218,0.393,0,0,0.127,0.196
PHI,LDN,4,4,0,2,+2,7,0,3,+1,4,1,1,+1,2,2,2,+2,2,1,2,0,5,0,2,0,1,3,2,0,1,3,2,-1,2,6,2,0,1,4,1,-2,0,6,1,-3,0,4,1,0,0.174,0.781,0,0,0.045,-0.011,0.806,0.184,0.119,0,-0.01,0.045
NYE,
NYE,
NYE,
NYE,
PHI,LDN,1,10,4,5,+2,2,6,6,+1,3,3,4,0,6,4,7,-1,4,5,4,-1,5,5,3,+3,2,6,6,-1,6,5,6,-2,0,4,4,0,5,4,4,0,7,7,4,-1,7,4,4,0,0.343,0.657,0,0.005,0.0,0.0,0.361,0.436,0,0.002,0.101,-0.101
PHI,LDN,2,8,12,7,+2,5,10,7,-3,5,14,6,-1,9,11,10,+3,11,14,7,-1,9,4,6,+2,12,7,10,+1,17,8,9,+2,4,7,7,-3,8,9,8,-1,11,11,10,0,13,5,9,-1,0.765,0.201,0,0,-0.033,0.053,0.956,0.019,0,0,-0.019,0.055
PHI,LDN,3,11,7,7,+2,2,9,6,-1,4,8,5,+1,9,9,9,+1,6,15,6,-2,8,8,8,0,13,5,9,+1,18,6,9,+1,1,7,6,-1,9,7,8,-2,8,11,6,0,8,5,7,0,0.143,0.564,0,0,0.103,0.109,0.218,0.393,0,0,0.127,0.196
PHI,LDN,4,4,0,2,+2,7,0,3,+1,4,1,1,+1,2,2,2,+2,2,1,2,0,5,0,2,0,1,3,2,0,1,3,2,-1,2,6,2,0,1,4,1,-2,0,6,1,-3,0,4,1,0,0.174,0.781,0,0,0.045,-0.011,0.806,0.184,0.119,0,-0.01,0.045
NYE,
NYE,
NYE,
NYE,
SEO,GLA,1,3,6,3,+1,3,8,2,-1,0,5,2,0,2,6,3,+1,3,6,2,-2,3,4,3,+1,5,1,3,0,1,2,3,0,5,6,2,-2,2,2,4,0,11,2,3,+1,6,2,3,+1,0.239,-0.011,0,0,0.492,-0.492,0.0,0.129,0,0,0.871,-0.871
SEO,GLA,2,10,4,6,0,11,3,7,+2,11,2,4,+2,8,2,7,+2,16,3,7,+2,2,1,5,-1,0,9,6,-2,1,11,6,-2,1,10,4,-2,3,10,7,0,7,11,6,-1,3,7,5,0,0.999,0.001,0.49,0,-0.001,0.001,1.0,-0.009,0.697,0.025,0.009,-0.006
SEO,GLA,3,5,3,2,-1,4,3,4,-2,1,1,3,+1,4,2,4,+1,6,3,4,+2,7,1,3,+2,2,5,3,-1,2,5,3,0,2,4,1,0,1,4,4,+1,4,6,4,-3,1,3,3,0,0.971,0.01,0.405,0.004,-0.01,0.01,0.576,0.378,0,0,0.046,-0.046
SEO,GLA,4,16,11,11,-3,8,9,17,0,6,9,10,-2,13,9,15,+3,17,10,11,-1,17,6,9,+5,8,13,13,-3,7,14,13,-1,7,13,10,-1,12,12,14,+1,10,19,12,-3,11,7,11,+5,0.788,-0.096,0,0,0.158,-0.061,0.768,0.021,0,0,0.211,-0.208
